No	Ref	V	by	m1	c1	N
--	---	-	--	--	--	-
0024	400	13.292	0.376	0.175	0.396	2
0030	051	12.04	0.426	0.110	0.494	1
0030	400	11.971	0.404	0.165	0.445	5
0030	551	11.983	0.389	0.181	0.428	1
0043	400	13.469	0.374	0.221	0.362	1
0048	400	12.732	0.467	0.210	0.385	2
0054	322		0.405	0.167	0.496	1
0054	400	12.660	0.395	0.179	0.431	7
0054	551	12.661	0.394	0.185		1
0055	051	11.32	0.190	0.207	0.809	3
0055	400	11.341	0.177	0.214	0.859	7
0055	551	11.281	0.165	0.232	0.854	1
0061	400	13.607	0.404	0.172	0.360	3
0064	400	14.016	0.439	0.194	0.346	2
0072	322		0.643	0.518	0.559	1
0073	400	13.231	0.372	0.155	0.398	7
0075	400	13.396	0.374	0.174	0.394	3
0077	400	13.368	0.372	0.166	0.383	7
0079	400	12.777	0.471	0.220	0.414	2
0080	400	13.790	0.369	0.184	0.377	4
0081	048	10.04	-0.01	0.09	0.62	9
0081	051	10.03	-0.017	0.113	0.600	2
0081	400	10.046	-0.028	0.120	0.650	6
0081	458	10.025	-0.021	0.122	0.610	1
0081	526	10.012	-0.036	0.123	0.624	32
0081	551	10.009	-0.036	0.125	0.622	1
0082	400	13.911	0.380	0.158	0.373	3
0083	051	13.24	0.433	0.093	0.482	1
0083	400	13.207	0.378	0.177	0.399	6
0089	400	13.398	0.369	0.176	0.383	4
0091	400	12.828	0.346			2
0093	400	14.136	0.391	0.181	0.348	2
0094	051	12.81	0.402	0.100	0.480	1
0094	400	12.795	0.360	0.180	0.428	7
0098	400	12.812	0.360	0.170	0.425	2
0098	551	12.791	0.356	0.197	0.396	1
0103	400	13.171	0.336			2
0105	322		0.785	0.577	0.415	1
0105	999	10.298	0.783	0.649		2
0106	400	13.067	0.346	0.189	0.391	2
0108	458	9.693	0.846	0.722	0.301	1
0112	400	13.271	0.377	0.182	0.398	4
0114	400	13.443	0.371	0.169	0.409	1
0115	051	12.65	0.421	0.146	0.380	1
0117	400	12.658	0.495	0.239	0.305	2
0117	458	12.652	0.541	0.231	0.520	1
0119	051	12.57	0.407	0.119	0.447	1
0119	400	12.542	0.379	0.172	0.379	12
0119	551	12.560	0.375	0.178	0.403	1
0120	400	13.671	0.373	0.164	0.346	3
0123	400	13.930	0.388	0.180	0.339	2
0124	051	12.14	0.317	0.157	0.468	1
0124	400	12.111	0.323	0.153	0.530	2
0124	458	12.101	0.315	0.157	0.532	1
0126	400	13.966	0.394	0.192	0.327	2
0127	400	12.765	0.350	0.162	0.443	5
0128	400	13.113	0.385	0.165	0.371	2
0129	400	13.094	0.366	0.174	0.368	2
0131	048	11.26	0.26	0.18	0.61	2
0131	051	11.22	0.279	0.150	0.593	3
0131	400	11.232	0.266	0.160	0.625	5
0131	551	11.174	0.271	0.163	0.467	1
0132	051	13.12	0.425	0.111	0.423	2
0134	051	12.27	0.410	0.123	0.476	1
0134	400	12.242	0.383	0.171	0.431	1
0136	048	11.30	0.42	0.16	0.47	2
0136	400	11.299	0.416	0.172	0.453	4
0136	551	11.301	0.400	0.184	0.467	1
0140	400	13.203	0.369	0.170	0.381	10
0145	400	12.816	0.399			2
0147	400	13.250	0.376	0.186	0.371	4
0149	051	12.56	0.404	0.135	0.467	1
0149	400	12.539	0.379	0.171	0.416	2
0152	400	13.482	0.377	0.154	0.394	4
0153	048	11.28	0.07	0.19	1.02	2
0153	051	11.31	0.066	0.202	0.978	2
0153	400	11.315	0.061	0.223	1.041	5
0153	551	11.243	0.038	0.232	1.027	1
0156	048	10.95	0.06	0.20	1.06	4
0156	051	10.99	0.070	0.170	1.031	2
0156	400	10.969	0.058	0.194	1.042	7
0156	551	10.948	0.036	0.193	1.079	1
0161	400	12.795	0.334	0.137	0.471	4
0168	400	13.292	0.312			2
0170	322		0.834	0.669	0.457	1
0170	999	9.659	0.827	0.729		1
0171	400	13.148	0.379	0.175	0.398	5
0174	400	12.691	0.386	0.168	0.431	10
0176	400	12.633	0.370	0.171	0.362	8
0176	551	12.624	0.386	0.164	0.370	1
0177	400	13.074	0.355			2
0180	400	12.621	0.374	0.176	0.397	7
0180	551	12.626	0.378	0.192	0.402	1
0184	051	12.27	0.170	0.171	0.842	1
0184	400	12.251	0.162	0.190	0.843	5
0185	051	11.12	0.147	0.190	0.946	2
0188	400	13.697	0.368	0.148	0.416	1
0189	400	12.846	0.348	0.149	0.445	2
0190	048	10.93	0.14	0.18	0.95	6
0190	051	10.98	0.170	0.180	0.899	2
0190	400	10.936	0.155	0.193	0.950	8
0190	551	10.923	0.147	0.194	0.959	1
0195	400	12.710	0.433	0.204	0.370	4
0202	400	12.551	0.376	0.175	0.413	2
0210	051	12.26	0.387	0.124	0.486	1
0224	322		0.869	0.503	0.455	1
0224	444	10.768	0.703	0.555		1
0226	051	12.77	0.530	0.099	0.490	1
0226	400	12.776	0.459	0.218	0.388	4
0231	322		0.682	0.434	0.555	1
0235	400	13.372	0.373	0.170	0.365	4
0236	400	12.516	0.409	0.192	0.373	2
0238	051	10.96	0.122	0.220	0.962	2
0280	048	10.66	0.06	0.19	1.06	2
0280	051	10.70	0.056	0.179	1.080	3
0280	400	10.676	0.066	0.187	1.092	7
0280	551	10.626	0.044	0.191	1.104	1
1019	400	14.537	0.429	0.209	0.304	2
1042	400	14.634	0.408	0.212	0.347	2
1046	400	14.390	0.433	0.206	0.291	2
1160	400	14.479	0.398	0.204	0.306	2
4004	400	12.697	0.364	0.163	0.371	7
4004	551	12.740	0.365	0.172	0.398	1
4006	400	13.284	0.310			2
4026	400	13.288	0.369	0.161	0.389	2
4035	400	13.806	0.363	0.183	0.361	4
